FWHM  0  
1 2.082 0.5 
2 3.494 0.5 
3 1.917 0.5 
4 1.946 0.5 
5 1.732 0.5 
6 1.997 0.5 
7 2.723 0.5 
8 1.957 0.5 
9 1.710 0.5 
10 1.448 0.5 
11 2.867 0.5 
12 1.599 0.5 
13 1.711 0.5 
14 1.405 0.5 
15 2.056 0.5 
16 1.568 0.5 
17 1.498 0.5 
18 1.521 0.5 
19 1.338 0.5 
20 1.411 0.5 
21 1.332 0.5 
22 1.309 0.5 
23 1.304 0.5 
24 1.578 0.5 
25 1.364 0.5 
26 1.776 0.5 
27 1.353 0.5 
28 1.626 0.5 
29 1.408 0.5 
30 1.278 0.5 
31 1.388 0.5 
32 2.299 0.5 
33 1.287 0.5 
34 1.265 0.5 
35 1.455 0.5 
36 1.461 0.5 
37 1.309 0.5 
38 1.743 0.5 
39 1.249 0.5 
40 1.338 0.5 
41 1.349 0.5 
42 1.334 0.5 
43 1.277 0.5 
44 1.277 0.5 
45 1.223 0.5 
46 1.334 0.5 
47 1.393 0.5 
48 1.317 0.5 
49 1.306 0.5 
50 1.236 0.5 
51 1.186 0.5 
52 1.246 0.5 
53 1.254 0.5 
54 1.545 0.5 
55 1.311 0.5 
56 1.167 0.5 
57 1.323 0.5 
58 1.547 0.5 
59 1.386 0.5 
60 1.157 0.5 
61 1.068 0.5 
62 1.158 0.5 
63 1.244 0.5 
64 2.551 0.5 
65 1.044 0.5 
66 1.997 0.5 
67 1.102 0.5 
68 1.098 0.5 
69 1.066 0.5 
70 1.087 0.5 
71 1.087 0.5 
72 1.087 0.5 
73 1.113 0.5 
74 1.081 0.5 
75 1.023 0.5 
76 1.093 0.5 
77 1.053 0.5 
78 1.023 0.5 
79 1.054 0.5 
80 1.084 0.5 
81 1.051 0.5 
82 1.164 0.5 
83 1.085 0.5 
84 1.061 0.5 
85 1.100 0.5 
86 1.071 0.5 
87 1.041 0.5 
88 1.097 0.5 
89 1.079 0.5 
90 1.078 0.5 
91 1.058 0.5 
92 1.015 0.5 
93 1.008 0.5 
94 1.016 0.5 
95 1.121 0.5 
96 1.031 0.5 
97 1.050 0.5 
98 1.045 0.5 
99 1.000 0.5 
100 1.096 0.5
101 1.122 0.5
102 1.118 0.5
103 1.084 0.5
104 1.031 0.5
105 0.994 0.5
106 1.122 0.5
107 1.052 0.5
108 1.041 0.5
109 1.061 0.5
110 1.044 0.5
111 0.992 0.5
112 1.003 0.5
113 1.019 0.5
114 1.036 0.5
115 1.141 0.5
116 1.060 0.5
117 0.999 0.5
118 0.959 0.5
119 0.930 0.5
120 0.946 0.5
121 0.946 0.5
122 0.975 0.5
123 1.099 0.5
124 1.162 0.5
125 1.139 0.5
126 1.157 0.5
127 1.318 0.5
128 1.157 0.5
129 1.310 0.5
130 1.298 0.5
131 1.271 0.5
132 1.364 0.5
133 0.998 0.5
134 0.957 0.5
135 1.107 0.5
136 1.178 0.5
137 1.168 0.5
138 1.255 0.5
139 1.129 0.5
140 1.133 0.5
