BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 15.409771 57.257332 
100.000000 500.000000 11.889799 39.851330 
100.000000 750.000000 10.172666 30.258327 
100.000000 1000.000000 9.175417 24.448326 
100.000000 1250.000000 8.488783 20.328228 
100.000000 1500.000000 8.008160 17.554119 
100.000000 1750.000000 7.542682 15.462712 
100.000000 2000.000000 7.137689 13.601271 
100.000000 2250.000000 6.883154 11.996708 
100.000000 2500.000000 6.556759 10.809372 
100.000000 2750.000000 6.411854 9.617402 
100.000000 3000.000000 6.164070 8.680283 
150.000000 250.000000 15.741362 56.573563 
150.000000 500.000000 12.377557 39.303005 
150.000000 750.000000 10.839747 29.835041 
150.000000 1000.000000 9.885135 24.046570 
150.000000 1250.000000 9.250084 20.274734 
150.000000 1500.000000 8.748893 17.371059 
150.000000 1750.000000 8.279390 15.145331 
150.000000 2000.000000 7.978157 13.302169 
150.000000 2250.000000 7.653441 11.525340 
150.000000 2500.000000 7.412388 10.414043 
150.000000 2750.000000 7.203212 9.427762 
150.000000 3000.000000 7.024237 8.680763 
200.000000 250.000000 16.574738 56.803677 
200.000000 500.000000 13.157509 39.386452 
200.000000 750.000000 11.646394 29.783115 
200.000000 1000.000000 10.662576 23.761683 
200.000000 1250.000000 10.079640 20.102846 
200.000000 1500.000000 9.585595 17.355209 
200.000000 1750.000000 9.168515 14.805601 
200.000000 2000.000000 8.778846 12.813131 
200.000000 2250.000000 8.507395 11.493583 
200.000000 2500.000000 8.205442 10.172021 
200.000000 2750.000000 8.000355 9.120366 
200.000000 3000.000000 8.085725 8.504324 
250.000000 250.000000 17.014853 55.704536 
250.000000 500.000000 14.190680 40.025578 
250.000000 750.000000 12.316470 29.598850 
250.000000 1000.000000 11.500201 24.016157 
250.000000 1250.000000 10.848410 19.867201 
250.000000 1500.000000 10.358294 17.082285 
250.000000 1750.000000 9.918574 14.587413 
250.000000 2000.000000 9.550538 12.805481 
250.000000 2250.000000 9.316709 11.383540 
250.000000 2500.000000 9.106684 10.204000 
250.000000 2750.000000 9.091861 9.373019 
250.000000 3000.000000 8.917260 8.615460 
