BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 15.497278 51.855461 
100.000000 500.000000 11.835634 36.566578 
100.000000 750.000000 10.133810 27.600979 
100.000000 1000.000000 9.208148 22.765072 
100.000000 1250.000000 8.553265 19.316273 
100.000000 1500.000000 7.963893 16.498350 
100.000000 1750.000000 7.531742 14.499160 
100.000000 2000.000000 7.241801 12.878362 
100.000000 2250.000000 6.853032 11.404954 
100.000000 2500.000000 6.532370 10.199345 
100.000000 2750.000000 6.345884 9.390472 
100.000000 3000.000000 6.233554 8.414276 
150.000000 250.000000 16.028244 51.441788 
150.000000 500.000000 12.581982 36.566322 
150.000000 750.000000 10.812108 27.542107 
150.000000 1000.000000 9.846273 22.549402 
150.000000 1250.000000 9.179745 19.096737 
150.000000 1500.000000 8.827778 16.439707 
150.000000 1750.000000 8.280743 14.303990 
150.000000 2000.000000 8.085305 12.792903 
150.000000 2250.000000 7.688768 11.274175 
150.000000 2500.000000 7.541152 10.082868 
150.000000 2750.000000 7.277601 9.000369 
150.000000 3000.000000 7.030709 8.210110 
200.000000 250.000000 16.640148 50.966881 
200.000000 500.000000 13.407227 36.761021 
200.000000 750.000000 11.626140 27.527569 
200.000000 1000.000000 10.789224 22.633398 
200.000000 1250.000000 10.020487 18.821714 
200.000000 1500.000000 9.639490 16.313393 
200.000000 1750.000000 9.118773 14.190944 
200.000000 2000.000000 8.920547 12.430846 
200.000000 2250.000000 8.474358 10.975273 
200.000000 2500.000000 8.368012 9.818832 
200.000000 2750.000000 8.208858 8.960155 
200.000000 3000.000000 8.137682 8.151620 
250.000000 250.000000 17.510883 51.469070 
250.000000 500.000000 14.137494 36.493320 
250.000000 750.000000 12.330878 27.600912 
250.000000 1000.000000 11.626139 22.286955 
250.000000 1250.000000 10.842660 18.522346 
250.000000 1500.000000 10.406140 16.087492 
250.000000 1750.000000 9.909548 13.997978 
250.000000 2000.000000 9.440539 12.029527 
250.000000 2250.000000 9.494748 10.959410 
250.000000 2500.000000 9.254438 9.912818 
250.000000 2750.000000 9.105542 8.928167 
250.000000 3000.000000 8.951265 8.145817 
