BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 15.345415 25.984175 
100.000000 500.000000 11.840846 29.483831 
100.000000 750.000000 10.124353 24.185270 
100.000000 1000.000000 9.060140 20.106415 
100.000000 1250.000000 8.335455 17.272993 
100.000000 1500.000000 7.891394 15.118987 
100.000000 1750.000000 7.545984 13.341789 
100.000000 2000.000000 7.196019 11.960110 
100.000000 2250.000000 6.801918 10.471299 
100.000000 2500.000000 6.623044 9.544019 
100.000000 2750.000000 6.346003 8.330462 
100.000000 3000.000000 6.231091 7.842876 
150.000000 250.000000 15.669247 25.857706 
150.000000 500.000000 12.493014 29.410334 
150.000000 750.000000 10.925216 23.961348 
150.000000 1000.000000 9.874454 20.102669 
150.000000 1250.000000 9.181762 17.163860 
150.000000 1500.000000 8.764251 14.999513 
150.000000 1750.000000 8.399117 13.135775 
150.000000 2000.000000 8.114755 11.624679 
150.000000 2250.000000 7.726597 10.499660 
150.000000 2500.000000 7.445220 9.286638 
150.000000 2750.000000 7.222102 8.298429 
150.000000 3000.000000 7.088401 7.564518 
200.000000 250.000000 16.635099 26.278015 
200.000000 500.000000 13.324542 29.129803 
200.000000 750.000000 11.539721 23.840506 
200.000000 1000.000000 10.680772 19.940140 
200.000000 1250.000000 10.009308 17.228357 
200.000000 1500.000000 9.493554 14.776406 
200.000000 1750.000000 9.282396 12.964723 
200.000000 2000.000000 8.905089 11.508504 
200.000000 2250.000000 8.624051 10.307137 
200.000000 2500.000000 8.124036 8.895992 
200.000000 2750.000000 8.315802 8.418287 
200.000000 3000.000000 7.992965 7.495615 
250.000000 250.000000 16.700327 25.029272 
250.000000 500.000000 14.091442 28.947256 
250.000000 750.000000 12.528056 24.138163 
250.000000 1000.000000 11.392622 19.767910 
250.000000 1250.000000 10.861544 16.841057 
250.000000 1500.000000 10.441374 14.638165 
250.000000 1750.000000 9.853003 12.770243 
250.000000 2000.000000 9.613075 11.108413 
250.000000 2250.000000 9.420091 9.982399 
250.000000 2500.000000 9.193060 9.027195 
250.000000 2750.000000 8.996276 8.309078 
250.000000 3000.000000 9.007104 7.724809 
