BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 14.018783 12.294394 
100.000000 500.000000 10.586555 14.370271 
100.000000 750.000000 9.104702 11.779809 
100.000000 1000.000000 8.130451 9.942629 
100.000000 1250.000000 7.528055 8.528775 
100.000000 1500.000000 7.004365 7.403210 
100.000000 1750.000000 6.728747 6.610400 
100.000000 2000.000000 6.428734 5.825340 
100.000000 2250.000000 6.129842 5.127454 
100.000000 2500.000000 5.924215 4.691597 
100.000000 2750.000000 5.786681 4.193091 
100.000000 3000.000000 5.667182 3.898765 
150.000000 250.000000 14.087578 12.045391 
150.000000 500.000000 11.248837 14.344438 
150.000000 750.000000 9.648609 11.784255 
150.000000 1000.000000 8.801859 9.852990 
150.000000 1250.000000 8.191965 8.398187 
150.000000 1500.000000 7.791790 7.300384 
150.000000 1750.000000 7.489099 6.465177 
150.000000 2000.000000 7.223800 5.753798 
150.000000 2250.000000 6.902866 5.044301 
150.000000 2500.000000 6.742535 4.581898 
150.000000 2750.000000 6.585292 4.228637 
150.000000 3000.000000 6.357891 3.838814 
200.000000 250.000000 14.542409 12.220557 
200.000000 500.000000 11.878235 14.071793 
200.000000 750.000000 10.361164 11.777707 
200.000000 1000.000000 9.549459 9.766115 
200.000000 1250.000000 8.889669 8.145138 
200.000000 1500.000000 8.566769 7.196743 
200.000000 1750.000000 8.164974 6.265185 
200.000000 2000.000000 7.866940 5.547058 
200.000000 2250.000000 7.737460 5.041303 
200.000000 2500.000000 7.548064 4.465765 
200.000000 2750.000000 7.413437 4.046469 
200.000000 3000.000000 7.351030 3.654856 
250.000000 250.000000 14.964628 12.164371 
250.000000 500.000000 12.352224 13.617672 
250.000000 750.000000 11.081761 11.593100 
250.000000 1000.000000 10.215453 9.694906 
250.000000 1250.000000 9.703970 8.309366 
250.000000 1500.000000 9.287202 7.138583 
250.000000 1750.000000 8.889196 6.199081 
250.000000 2000.000000 8.650566 5.468201 
250.000000 2250.000000 8.520405 4.957446 
250.000000 2500.000000 8.357461 4.389992 
250.000000 2750.000000 8.198174 3.968880 
250.000000 3000.000000 8.112079 3.666503 
