BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 6.233670 26.297796 
100.000000 500.000000 5.339137 30.332056 
100.000000 750.000000 5.077394 24.916510 
100.000000 1000.000000 4.926809 20.829168 
100.000000 1250.000000 4.881853 17.548159 
100.000000 1500.000000 4.765934 15.441771 
100.000000 2000.000000 4.712746 12.136130 
100.000000 2500.000000 4.548424 9.715260 
100.000000 3000.000000 4.449370 8.047616 
150.000000 250.000000 7.719850 25.783535 
150.000000 500.000000 6.628445 29.954756 
150.000000 750.000000 6.311937 24.698729 
150.000000 1000.000000 6.083958 20.380716 
150.000000 1250.000000 6.028816 17.491730 
150.000000 1500.000000 5.918002 15.042274 
150.000000 2000.000000 5.717516 11.632715 
150.000000 2500.000000 5.554942 9.227998 
150.000000 3000.000000 5.448572 7.472396 
200.000000 250.000000 9.225236 25.626953 
200.000000 500.000000 7.781889 29.082956 
200.000000 750.000000 7.359623 23.903887 
200.000000 1000.000000 7.149869 20.145939 
200.000000 1250.000000 6.922298 16.894331 
200.000000 1500.000000 6.885289 14.771555 
200.000000 2000.000000 6.531682 11.117760 
200.000000 2500.000000 6.438625 8.982677 
200.000000 3000.000000 6.263700 7.375656 
250.000000 250.000000 10.592571 25.316803 
250.000000 500.000000 8.780347 28.503084 
250.000000 750.000000 8.308083 23.753813 
250.000000 1000.000000 8.061137 19.687620 
250.000000 1250.000000 7.767055 16.593052 
250.000000 1500.000000 7.692613 14.403605 
250.000000 2000.000000 7.348680 10.906139 
250.000000 2500.000000 7.109435 8.691369 
250.000000 3000.000000 6.987570 7.258259 
