BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 5.887370 62.313999 
100.000000 500.000000 5.169492 41.320824 
100.000000 750.000000 4.977778 30.742638 
100.000000 1000.000000 4.893973 24.795542 
100.000000 1250.000000 4.842028 20.602789 
100.000000 1500.000000 4.776495 17.732824 
100.000000 1750.000000 4.734637 15.718163 
100.000000 2000.000000 4.640328 13.858616 
100.000000 2250.000000 4.582614 12.312185 
100.000000 2500.000000 4.572300 11.137453 
100.000000 2750.000000 4.500388 10.023110 
100.000000 3000.000000 4.473856 9.100647 
150.000000 250.000000 7.206646 61.283882 
150.000000 500.000000 6.396218 41.043385 
150.000000 750.000000 6.190719 30.387775 
150.000000 1000.000000 6.035791 24.227375 
150.000000 1250.000000 5.993667 20.463957 
150.000000 1500.000000 5.924354 17.543715 
150.000000 1750.000000 5.862583 15.466320 
150.000000 2000.000000 5.698065 13.442931 
150.000000 2250.000000 5.661276 11.812083 
150.000000 2500.000000 5.595412 10.607019 
150.000000 2750.000000 5.492786 9.659278 
150.000000 3000.000000 5.430126 8.887982 
200.000000 250.000000 8.473889 60.428913 
200.000000 500.000000 7.496611 40.430595 
200.000000 750.000000 7.178509 30.181705 
200.000000 1000.000000 7.058901 23.978092 
200.000000 1250.000000 6.972859 20.195248 
200.000000 1500.000000 6.941240 17.353979 
200.000000 1750.000000 6.692942 14.868050 
200.000000 2000.000000 6.678351 12.934625 
200.000000 2250.000000 6.541939 11.594481 
200.000000 2500.000000 6.425302 10.202332 
200.000000 2750.000000 6.302516 9.178921 
200.000000 3000.000000 6.419377 8.494928 
250.000000 250.000000 9.612990 59.391506 
250.000000 500.000000 8.478434 39.878189 
250.000000 750.000000 8.206101 29.877350 
250.000000 1000.000000 8.045728 23.983356 
250.000000 1250.000000 7.930384 19.870481 
250.000000 1500.000000 7.737818 16.926140 
250.000000 1750.000000 7.626029 14.572653 
250.000000 2000.000000 7.421525 12.749921 
250.000000 2250.000000 7.246605 11.241548 
250.000000 2500.000000 7.247465 10.156615 
250.000000 2750.000000 7.262735 9.265268 
250.000000 3000.000000 7.210400 8.492131 
