BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 14.036595 60.914780 
100.000000 500.000000 10.703297 41.849876 
100.000000 750.000000 9.066282 30.847881 
100.000000 1000.000000 8.198503 24.702415 
100.000000 1250.000000 7.554857 20.737703 
100.000000 1500.000000 7.128433 17.848965 
100.000000 1750.000000 6.666296 15.583561 
100.000000 2000.000000 6.502488 13.662107 
100.000000 2250.000000 6.269292 12.180516 
100.000000 2500.000000 5.939357 10.821690 
100.000000 2750.000000 5.787485 9.851100 
100.000000 3000.000000 5.581566 8.930655 
150.000000 250.000000 14.347140 60.115143 
150.000000 500.000000 11.200644 41.439278 
150.000000 750.000000 9.631208 30.654778 
150.000000 1000.000000 8.787354 24.651470 
150.000000 1250.000000 8.270542 20.555330 
150.000000 1500.000000 7.822958 17.698177 
150.000000 1750.000000 7.522413 15.282914 
150.000000 2000.000000 7.228555 13.553606 
150.000000 2250.000000 6.994774 11.883183 
150.000000 2500.000000 6.564517 10.458114 
150.000000 2750.000000 6.619130 9.622986 
150.000000 3000.000000 6.443426 8.582097 
200.000000 250.000000 14.859468 59.709557 
200.000000 500.000000 11.744967 40.717922 
200.000000 750.000000 10.345641 30.611782 
200.000000 1000.000000 9.584953 24.522259 
200.000000 1250.000000 9.031104 20.205853 
200.000000 1500.000000 8.584684 17.365795 
200.000000 1750.000000 8.243009 15.126483 
200.000000 2000.000000 7.888182 13.240525 
200.000000 2250.000000 7.611244 11.508261 
200.000000 2500.000000 7.460876 10.356536 
200.000000 2750.000000 7.401888 9.414985 
200.000000 3000.000000 7.349362 8.773253 
250.000000 250.000000 15.210977 58.565102 
250.000000 500.000000 12.275411 40.323181 
250.000000 750.000000 11.043677 30.529385 
250.000000 1000.000000 10.317685 24.446768 
250.000000 1250.000000 9.602015 20.175743 
250.000000 1500.000000 9.247301 17.104561 
250.000000 1750.000000 8.851635 14.834669 
250.000000 2000.000000 8.610141 12.892114 
250.000000 2250.000000 8.498207 11.449029 
250.000000 2500.000000 8.314432 10.325559 
250.000000 2750.000000 8.198255 9.435762 
250.000000 3000.000000 8.284121 8.555299 
