BeamEnergy GammaEnergy Resolution Efficiency 
100.000000 250.000000 5.134596 63.725533 
100.000000 500.000000 4.738855 42.372665 
100.000000 750.000000 4.622417 31.108088 
100.000000 1000.000000 4.588689 24.904156 
100.000000 1250.000000 4.583991 20.977072 
100.000000 1500.000000 4.567133 18.082655 
100.000000 1750.000000 4.509784 15.839562 
100.000000 2000.000000 4.507617 13.916689 
100.000000 2250.000000 4.460008 12.448551 
100.000000 2500.000000 4.340563 11.174422 
100.000000 2750.000000 4.390902 10.221664 
100.000000 3000.000000 4.277713 9.248117 
150.000000 250.000000 6.279696 64.025497 
150.000000 500.000000 5.831114 41.744553 
150.000000 750.000000 5.701453 30.912222 
150.000000 1000.000000 5.665186 24.785522 
150.000000 1250.000000 5.646742 20.730759 
150.000000 1500.000000 5.642937 17.890556 
150.000000 1750.000000 5.575655 15.442437 
150.000000 2000.000000 5.469024 13.708675 
150.000000 2250.000000 5.453729 12.085313 
150.000000 2500.000000 5.318443 10.748414 
150.000000 2750.000000 5.330968 9.784042 
150.000000 3000.000000 5.235467 8.802948 
200.000000 250.000000 7.188404 62.017956 
200.000000 500.000000 6.772594 41.116596 
200.000000 750.000000 6.651668 30.640440 
200.000000 1000.000000 6.666906 24.549643 
200.000000 1250.000000 6.606305 20.292170 
200.000000 1500.000000 6.580714 17.470373 
200.000000 1750.000000 6.512232 15.255869 
200.000000 2000.000000 6.352153 13.373835 
200.000000 2250.000000 6.269965 11.744195 
200.000000 2500.000000 6.135174 10.474852 
200.000000 2750.000000 6.186944 9.472145 
200.000000 3000.000000 6.253137 8.833787 
250.000000 250.000000 8.033194 60.451630 
250.000000 500.000000 7.623170 40.620373 
250.000000 750.000000 7.489457 30.374002 
250.000000 1000.000000 7.456463 24.301399 
250.000000 1250.000000 7.388688 20.164629 
250.000000 1500.000000 7.327673 17.163021 
250.000000 1750.000000 7.189942 14.883397 
250.000000 2000.000000 7.092430 12.902558 
250.000000 2250.000000 7.086609 11.497219 
250.000000 2500.000000 7.033834 10.360812 
250.000000 2750.000000 6.992010 9.403870 
250.000000 3000.000000 6.950677 8.465095 
